Driver,LapNumber,LapTime,TyreLife,Compound,PitOutTime
LEC,2.0,0 days 00:01:58.969000,1.0,INTERMEDIATE,0 days 01:04:19.114000
LEC,3.0,0 days 00:01:30.281000,2.0,INTERMEDIATE,
LEC,4.0,0 days 00:01:25.852000,3.0,INTERMEDIATE,
LEC,5.0,0 days 00:01:24.975000,4.0,INTERMEDIATE,
LEC,6.0,0 days 00:01:25.657000,5.0,INTERMEDIATE,
LEC,7.0,0 days 00:01:24.818000,6.0,INTERMEDIATE,
LEC,8.0,0 days 00:01:25.064000,7.0,INTERMEDIATE,
LEC,9.0,0 days 00:01:27.458000,8.0,INTERMEDIATE,
LEC,10.0,0 days 00:01:26.256000,9.0,INTERMEDIATE,
LEC,11.0,0 days 00:01:30.892000,10.0,INTERMEDIATE,
LEC,12.0,0 days 00:01:47.200000,1.0,SOFT,0 days 01:19:13.942000
LEC,13.0,0 days 00:01:18.149000,2.0,SOFT,
LEC,14.0,0 days 00:01:17.837000,3.0,SOFT,
LEC,15.0,0 days 00:01:17.621000,4.0,SOFT,
LEC,16.0,0 days 00:01:37.308000,5.0,SOFT,
LEC,17.0,0 days 00:01:53.845000,6.0,SOFT,
LEC,18.0,0 days 00:01:46.782000,7.0,SOFT,
LEC,19.0,0 days 00:02:03.019000,8.0,SOFT,
LEC,20.0,0 days 00:01:54.136000,9.0,SOFT,
LEC,21.0,0 days 00:01:57.665000,10.0,SOFT,
LEC,22.0,0 days 00:01:19.372000,11.0,SOFT,
LEC,23.0,0 days 00:01:18.267000,12.0,SOFT,
LEC,24.0,0 days 00:01:17.769000,13.0,SOFT,
LEC,25.0,0 days 00:01:17.863000,14.0,SOFT,
LEC,26.0,0 days 00:01:19.046000,15.0,SOFT,
LEC,27.0,0 days 00:01:17.558000,16.0,SOFT,
LEC,28.0,0 days 00:01:17.431000,17.0,SOFT,
LEC,29.0,0 days 00:01:17.418000,18.0,SOFT,
LEC,30.0,0 days 00:01:18.574000,19.0,SOFT,
LEC,31.0,0 days 00:01:17.561000,20.0,SOFT,
LEC,32.0,0 days 00:01:17.432000,21.0,SOFT,
LEC,33.0,0 days 00:01:17.277000,22.0,SOFT,
LEC,34.0,0 days 00:01:17.662000,23.0,SOFT,
LEC,35.0,0 days 00:01:18.035000,24.0,SOFT,
LEC,36.0,0 days 00:01:17.936000,25.0,SOFT,
LEC,37.0,0 days 00:01:17.454000,26.0,SOFT,
LEC,38.0,0 days 00:01:18.473000,27.0,SOFT,
LEC,39.0,0 days 00:01:17.874000,28.0,SOFT,
LEC,40.0,0 days 00:01:18.096000,29.0,SOFT,
LEC,41.0,0 days 00:01:23.662000,30.0,SOFT,
STR,1.0,0 days 00:01:37.074000,1.0,SOFT,
STR,2.0,0 days 00:01:50.241000,2.0,SOFT,
STR,3.0,0 days 00:01:52.030000,3.0,SOFT,
STR,4.0,0 days 00:01:54.041000,4.0,SOFT,
STR,5.0,0 days 00:01:43.905000,1.0,INTERMEDIATE,0 days 01:09:37.077000
STR,6.0,0 days 00:01:24.554000,2.0,INTERMEDIATE,
STR,7.0,0 days 00:01:26.604000,3.0,INTERMEDIATE,
STR,8.0,0 days 00:01:23.782000,4.0,INTERMEDIATE,
STR,9.0,0 days 00:01:29.107000,5.0,INTERMEDIATE,
STR,10.0,0 days 00:01:42.634000,1.0,SOFT,0 days 01:17:05.194000
STR,11.0,0 days 00:01:19.740000,2.0,SOFT,
STR,12.0,0 days 00:01:17.585000,3.0,SOFT,
STR,13.0,0 days 00:01:18.291000,4.0,SOFT,
STR,14.0,0 days 00:01:18.114000,5.0,SOFT,
STR,15.0,0 days 00:01:18.520000,6.0,SOFT,
STR,16.0,0 days 00:01:53.704000,7.0,SOFT,
STR,17.0,0 days 00:02:07.606000,1.0,MEDIUM,0 days 01:27:13.246000
STR,18.0,0 days 00:01:24.336000,2.0,MEDIUM,
STR,19.0,0 days 00:01:36.486000,3.0,MEDIUM,
STR,20.0,0 days 00:01:49.885000,4.0,MEDIUM,
STR,21.0,0 days 00:01:53.444000,5.0,MEDIUM,
STR,22.0,0 days 00:01:18.993000,6.0,MEDIUM,
STR,23.0,0 days 00:01:17.939000,7.0,MEDIUM,
STR,24.0,0 days 00:01:17.367000,8.0,MEDIUM,
STR,25.0,0 days 00:01:17.011000,9.0,MEDIUM,
STR,26.0,0 days 00:01:17.567000,10.0,MEDIUM,
STR,27.0,0 days 00:01:17.957000,11.0,MEDIUM,
STR,28.0,0 days 00:01:17.549000,12.0,MEDIUM,
STR,29.0,0 days 00:01:17.567000,13.0,MEDIUM,
STR,30.0,0 days 00:01:17.584000,14.0,MEDIUM,
STR,31.0,0 days 00:01:17.689000,15.0,MEDIUM,
STR,32.0,0 days 00:01:17.435000,16.0,MEDIUM,
STR,33.0,0 days 00:01:17.786000,17.0,MEDIUM,
STR,34.0,0 days 00:01:20.718000,18.0,MEDIUM,
STR,35.0,0 days 00:01:34.591000,1.0,SOFT,0 days 01:52:58.453000
STR,36.0,0 days 00:01:15.515000,2.0,SOFT,
STR,37.0,0 days 00:01:15.171000,3.0,SOFT,
STR,38.0,0 days 00:01:15.605000,4.0,SOFT,
STR,39.0,0 days 00:01:15.409000,5.0,SOFT,
STR,40.0,0 days 00:01:15.376000,6.0,SOFT,
STR,41.0,0 days 00:01:15.842000,7.0,SOFT,
STR,42.0,0 days 00:01:15.803000,8.0,SOFT,
STR,43.0,0 days 00:01:15.813000,9.0,SOFT,
STR,44.0,0 days 00:01:15.904000,10.0,SOFT,
STR,45.0,0 days 00:01:16.116000,11.0,SOFT,
STR,46.0,0 days 00:01:16.905000,12.0,SOFT,
STR,47.0,0 days 00:01:15.717000,13.0,SOFT,
STR,48.0,0 days 00:01:15.723000,14.0,SOFT,
STR,49.0,0 days 00:01:15.625000,15.0,SOFT,
STR,50.0,0 days 00:01:15.698000,16.0,SOFT,
STR,51.0,0 days 00:01:15.617000,17.0,SOFT,
STR,52.0,0 days 00:01:15.767000,18.0,SOFT,
STR,53.0,0 days 00:01:15.782000,19.0,SOFT,
STR,54.0,0 days 00:01:15.618000,20.0,SOFT,
STR,55.0,0 days 00:01:15.811000,21.0,SOFT,
STR,56.0,0 days 00:01:15.741000,22.0,SOFT,
STR,57.0,0 days 00:01:15.898000,23.0,SOFT,
STR,58.0,0 days 00:01:16.106000,24.0,SOFT,
STR,59.0,0 days 00:01:15.978000,25.0,SOFT,
STR,60.0,0 days 00:01:26.596000,26.0,SOFT,
STR,61.0,0 days 00:01:45.281000,6.0,INTERMEDIATE,0 days 02:26:19.761000
STR,62.0,0 days 00:01:25.479000,7.0,INTERMEDIATE,
STR,63.0,0 days 00:02:12.240000,8.0,INTERMEDIATE,
STR,64.0,,6.0,INTERMEDIATE,0 days 03:11:31.525000
STR,65.0,,7.0,INTERMEDIATE,0 days 03:13:51.054000
STR,66.0,0 days 00:02:07.412000,8.0,INTERMEDIATE,
STR,67.0,0 days 00:01:29.525000,9.0,INTERMEDIATE,
STR,68.0,0 days 00:01:24.778000,10.0,INTERMEDIATE,
STR,69.0,0 days 00:01:23.318000,11.0,INTERMEDIATE,
STR,70.0,0 days 00:01:23.029000,12.0,INTERMEDIATE,
STR,71.0,0 days 00:01:22.543000,13.0,INTERMEDIATE,
STR,72.0,0 days 00:01:23.194000,14.0,INTERMEDIATE,
SAR,1.0,0 days 00:01:39.822000,1.0,SOFT,
SAR,2.0,0 days 00:01:53.444000,2.0,SOFT,
SAR,3.0,0 days 00:01:56.188000,3.0,SOFT,
SAR,4.0,0 days 00:01:48.687000,4.0,SOFT,
SAR,5.0,0 days 00:01:43.016000,5.0,SOFT,
